,percentage - Ground Truth,percentage - Prediction,Diff - Ground Truth & Prediction,previous - trade price,next - trade price,Country,Item Code
0,6.287664413452148,6.284905910491943,0.002758502960205078,1991093839.0,125193297,China,840890
1,0.8550779223442078,0.8579413890838623,0.002863466739654541,16243198.0,138892,Brazil,820320
2,2.068004608154297,2.0750229358673096,0.007018327713012695,70528230.0,1458527,Australia,840734
3,4.616559982299805,4.60947847366333,0.007081508636474609,39207961.0,1810059,Philippines,840999
4,0.4036012887954712,0.3961523771286011,0.007448911666870117,73649172.0,297249,Chile,841391
5,1.0005733966827393,1.0106834173202515,0.010110020637512207,9238703.0,92440,Poland,842119
6,0.6981349587440491,0.6872860193252563,0.010848939418792725,153437531.0,1071201,Norway,844399
7,1.3283586502075195,1.3403414487838745,0.01198279857635498,156652117.0,2080902,Poland,841459
8,0.6548638343811035,0.6396098136901855,0.015254020690917969,65335413.0,427858,Norway,841869
9,4.359213829040527,4.379110336303711,0.019896507263183594,115489878.0,5034451,Japan,841869
3444,92.46986389160156,3.7928061485290527,88.67705774307251,118502639.0,109579232,India,842890
3445,102.65850830078125,2.5956149101257324,100.06289339065552,1833623.0,1882370,Egypt,830230
3446,113.88651275634766,8.58624267578125,105.3002700805664,4900496.0,5581004,Viet Nam,830710
3447,129.18777465820312,12.101070404052734,117.08670425415039,3011877.0,3890977,Iran,843120
3448,150.64239501953125,4.030820369720459,146.6115746498108,2653403.0,3997150,Kuwait,840890
3449,157.72268676757812,1.2415977716445923,156.48108899593353,590215.0,930903,Brazil,845011
3450,170.12669372558594,8.675579071044922,161.45111465454102,5700485.0,9698047,Viet Nam,820559
3451,278.2258605957031,2.667330503463745,275.5585300922394,22335305.0,62142596,Saudi Arabia,841990
3452,364.4615783691406,1.538909912109375,362.92266845703125,4853256.0,17688253,Myanmar,842952
3453,863.6414184570312,2.722790241241455,860.9186282157898,1231656.0,10637091,Egypt,842952
